2024-01-31 16:42:52,041 INFO    MainThread:5564 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-31 16:42:52,042 INFO    MainThread:5564 [wandb_setup.py:_flush():76] Configure stats pid to 5564
2024-01-31 16:42:52,042 INFO    MainThread:5564 [wandb_setup.py:_flush():76] Loading settings from C:\Users\arnau\.config\wandb\settings
2024-01-31 16:42:52,042 INFO    MainThread:5564 [wandb_setup.py:_flush():76] Loading settings from C:\Users\arnau\Desktop\blocksage\git\blocksage\src\autoencoder\wandb\settings
2024-01-31 16:42:52,042 INFO    MainThread:5564 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-31 16:42:52,042 INFO    MainThread:5564 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-31 16:42:52,051 INFO    MainThread:5564 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src\\autoencoder\\autoencoder_train.py', 'program_abspath': 'C:\\Users\\arnau\\Desktop\\blocksage\\git\\blocksage\\src\\autoencoder\\autoencoder_train.py', 'program': 'C:\\Users\\arnau\\Desktop\\blocksage\\git\\blocksage\\src\\autoencoder\\autoencoder_train.py'}
2024-01-31 16:42:52,051 INFO    MainThread:5564 [wandb_init.py:_log_setup():526] Logging user logs to C:\Users\arnau\Desktop\blocksage\git\blocksage\src\autoencoder\wandb\run-20240131_164252-djgsv8aw\logs\debug.log
2024-01-31 16:42:52,051 INFO    MainThread:5564 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Users\arnau\Desktop\blocksage\git\blocksage\src\autoencoder\wandb\run-20240131_164252-djgsv8aw\logs\debug-internal.log
2024-01-31 16:42:52,051 INFO    MainThread:5564 [wandb_init.py:init():566] calling init triggers
2024-01-31 16:42:52,051 INFO    MainThread:5564 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'architecture': 'AutoEncoderTrainer', 'name': '20240131-164250_autoencoderAutoEncoder_AdamWoptim_1epochs_0001lr_CrossEntropyLossloss_ReLUact_00dropout_1accsteps_100evalsteps_1encconvs_1decconvs', 'dataset': 'Minecraft Generated Worlds', 'epochs': 1, 'learning_rate': 0.001}
2024-01-31 16:42:52,051 INFO    MainThread:5564 [wandb_init.py:init():616] starting backend
2024-01-31 16:42:52,051 INFO    MainThread:5564 [wandb_init.py:init():620] setting up manager
2024-01-31 16:42:52,055 INFO    MainThread:5564 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-01-31 16:42:52,056 INFO    MainThread:5564 [wandb_init.py:init():628] backend started and connected
2024-01-31 16:42:52,058 INFO    MainThread:5564 [wandb_init.py:init():720] updated telemetry
2024-01-31 16:42:52,087 INFO    MainThread:5564 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-31 16:42:52,673 INFO    MainThread:5564 [wandb_run.py:_on_init():2254] communicating current version
2024-01-31 16:42:52,934 INFO    MainThread:5564 [wandb_run.py:_on_init():2263] got version response 
2024-01-31 16:42:52,934 INFO    MainThread:5564 [wandb_init.py:init():804] starting run threads in backend
2024-01-31 16:42:55,869 INFO    MainThread:5564 [wandb_run.py:_console_start():2233] atexit reg
2024-01-31 16:42:55,869 INFO    MainThread:5564 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-31 16:42:55,870 INFO    MainThread:5564 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-31 16:42:55,870 INFO    MainThread:5564 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-31 16:42:55,871 INFO    MainThread:5564 [wandb_init.py:init():847] run started, returning control to user process
2024-01-31 16:42:55,871 INFO    MainThread:5564 [wandb_watch.py:watch():51] Watching
2024-01-31 16:49:31,446 WARNING MsgRouterThr:5564 [router.py:message_loop():77] message_loop has been closed
